"id","name","coordinates.x","coordinates.y","creationDate","health","loyal","weaponType","meleeWeapon","chapter.name","chapter.world"
"31","mandf","1.0","2","2024-02-08T21:21:56.070890353","3","false","COMBI_PLASMA_GUN","MANREAPER","kill","5"
"32","tudfdl","7.0","8","2024-02-08T21:22:03.180628396","9","false","COMBI_PLASMA_GUN","POWER_SWORD","ds","10"
"33","fdgdfgdf","54.0","32","2024-02-08T21:22:27.622434561","25","false","COMBI_PLASMA_GUN","POWER_SWORD","hello","popop"
"34","fdgdfg","54.0","454","2024-02-08T21:22:27.625900240","25","false","INFERNO_PISTOL","POWER_SWORD","hi","180"
"35","rgregdf","54.0","9","2024-02-08T21:22:27.629628867","25","false","COMBI_PLASMA_GUN","MANREAPER","man","180"
"36","4534","54.0","65","2024-02-08T21:22:27.633271522","8","false","INFERNO_PISTOL","POWER_SWORD","lab","180"
"37","dfgfdg","54.0","65","2024-02-08T21:22:27.636476750","6","false","COMBI_PLASMA_GUN","MANREAPER","kill","180"
"38","dfgfdgfff","54.0","65","2024-02-08T21:22:27.639137415","100","false","COMBI_PLASMA_GUN","POWER_SWORD","ds","180"
"45","1","2.0","3","2024-05-01T13:14:00.292108900","2","false","FLAMER","POWER_BLADE","5","6"
"58","fdgdfgdf","54.0","32","2024-05-01T14:27:35.885749600","25","false","COMBI_PLASMA_GUN","POWER_SWORD","hello","popop"
"59","fdgdfg","54.0","454","2024-05-01T14:27:35.890749200","25","false","INFERNO_PISTOL","POWER_SWORD","hi","180"
"60","rgregdf","54.0","9","2024-05-01T14:27:35.894748800","25","false","COMBI_PLASMA_GUN","MANREAPER","man","180"
"61","4534","54.0","65","2024-05-01T14:27:35.898749200","8","false","INFERNO_PISTOL","POWER_SWORD","lab","180"
"62","dfgfdg","54.0","65","2024-05-01T14:27:35.902751200","6","false","COMBI_PLASMA_GUN","MANREAPER","kill","180"
"63","dfgfdgfff","54.0","65","2024-05-01T14:27:35.905750600","100","false","COMBI_PLASMA_GUN","POWER_SWORD","ds","180"
"65","fdgdfgdf","54.0","32","2024-05-02T16:01:12.431038500","25","false","COMBI_PLASMA_GUN","POWER_SWORD","hello","popop"
"66","fdgdfg","54.0","454","2024-05-02T16:01:12.434038600","25","false","INFERNO_PISTOL","POWER_SWORD","hi","180"
"67","rgregdf","54.0","9","2024-05-02T16:01:12.437039100","25","false","COMBI_PLASMA_GUN","MANREAPER","man","180"
"68","4534","54.0","65","2024-05-02T16:01:12.439039500","8","false","INFERNO_PISTOL","POWER_SWORD","lab","180"
"69","dfgfdg","54.0","65","2024-05-02T16:01:12.442046900","6","false","COMBI_PLASMA_GUN","MANREAPER","kill","180"
"70","dfgfdgfff","54.0","65","2024-05-02T16:01:12.446106600","100","false","COMBI_PLASMA_GUN","POWER_SWORD","ds","180"
"71","fdgdfgdf","54.0","32","2024-05-02T16:02:44.792410800","25","false","COMBI_PLASMA_GUN","POWER_SWORD","hello","popop"
"72","fdgdfg","54.0","454","2024-05-02T16:02:44.795410800","25","false","INFERNO_PISTOL","POWER_SWORD","hi","180"
"73","rgregdf","54.0","9","2024-05-02T16:02:44.798411500","25","false","COMBI_PLASMA_GUN","MANREAPER","man","180"
"74","4534","54.0","65","2024-05-02T16:02:44.800438700","8","false","INFERNO_PISTOL","POWER_SWORD","lab","180"
"75","dfgfdg","54.0","65","2024-05-02T16:02:44.802442700","6","false","COMBI_PLASMA_GUN","MANREAPER","kill","180"
"76","dfgfdgfff","54.0","65","2024-05-02T16:02:44.805411400","100","false","COMBI_PLASMA_GUN","POWER_SWORD","ds","180"
